Transaction ID,Transaction
Trans1,"table,chair,lamp"
Trans2,"bed frame,pillow,rug"
Trans3,"desk,lamp,bookshelf"
Trans4,"lamp,rug,table"
Trans5,"bed frame,pillow,lamp"
Trans6,"chair,table,rug"
Trans7,"desk,bookshelf,chair"
Trans8,"bed frame,pillow,lamp,rug"
Trans9,"table,chair,lamp"
Trans10,"rug,lamp,bookshelf"
Trans11,"desk,lamp,table"
Trans12,"bed frame,pillow,rug"
Trans13,"chair,table,bookshelf"
Trans14,"desk,bookshelf,lamp"
Trans15,"rug,lamp,chair"
Trans16,"bed frame,pillow,lamp,rug"
Trans17,"chair,table,desk"
Trans18,"bookshelf,desk,lamp"
Trans19,"bed frame,pillow,table"
Trans20,"table,chair,rug,lamp"